SUBJECT_ID;Q;Q_EFFICIENT;DELTA_Q;Q_OPTIMAL;DELTA_Q_OPTIMAL;FFS;CAP;MEDICAL_STUDENT;PHYSICIAN;SUBJECT_AGE;FEMALE_SUBJECT;PATIENT_SEVERITY;FEMALE_PATIENT;LIABILITY;LIAB_MEDICALSTUDENT;PHYSICIANS_FAMILY
15;4;5;-1;7;-3;0;1;0;0;27;1;3;1;1;0;0
15;1;5;-4;7;-6;0;1;0;0;27;1;3;0;0;0;0
15;3;3;0;3;0;0;1;0;0;27;1;1;0;1;0;0
15;3;5;-2;5;-2;0;1;0;0;27;1;2;1;0;0;0
15;8;5;3;7;1;1;0;0;0;27;1;3;0;0;0;0
15;10;5;5;7;3;1;0;0;0;27;1;3;0;1;0;0
15;1;3;-2;3;-2;0;1;0;0;27;1;1;0;0;0;0
15;4;5;-1;5;-1;0;1;0;0;27;1;2;1;1;0;0
15;9;5;4;5;4;1;0;0;0;27;1;2;1;0;0;0
15;9;5;4;7;2;1;0;0;0;27;1;3;1;1;0;0
16;5;3;2;3;2;0;1;0;1;52;1;1;1;0;0;1
16;6;3;3;3;3;1;0;0;1;52;1;1;1;0;0;1
16;5;5;0;5;0;1;0;0;1;52;1;2;0;1;0;1
16;7;5;2;7;0;0;1;0;1;52;1;3;0;1;0;1
16;2;3;-1;3;-1;1;0;0;1;52;1;1;1;1;0;1
16;4;5;-1;5;-1;0;1;0;1;52;1;2;0;1;0;1
16;6;5;1;7;-1;0;1;0;1;52;1;3;1;0;0;1
16;5;5;0;7;-2;1;0;0;1;52;1;3;1;0;0;1
16;5;3;2;3;2;1;0;0;1;52;1;1;0;0;0;1
16;1;3;-2;3;-2;0;1;0;1;52;1;1;1;1;0;1
16;3;5;-2;5;-2;1;0;0;1;52;1;2;1;1;0;1
16;8;5;3;5;3;0;1;0;1;52;1;2;0;0;0;1
16;3;3;0;3;0;1;0;0;1;52;1;1;0;1;0;1
16;6;5;1;5;1;1;0;0;1;52;1;2;0;0;0;1
